        Berlin Warszawa Paryż Rzym Madryt Wiedeń Budapeszt Praga Bruksela Amsterdam
Berlin     0      570   878   1184  1866    524     689     279     651     646
Warszawa  570      0    1367  1693  2297    555     545     517     1151    1094
Paryż     878    1367    0    1105  1274    1036    1482    864     316     502
Rzym 1184 1693 1105 0 1365 1132 1326 920 1172 1290
Madryt 1866 2297 1274 1365 0 1710 1975 1782 1316 1482
Wiedeń 524 555 1036 1132 1710 0 243 252 914 947
Budapeszt 689 545 1482 1326 1975 243 0 529 1142 1238
Praga 279 517 864 920 1782 252 529 0 702 717
Bruksela 651 1151 316 1172 1316 914 1142 702 0 173
Amsterdam 646 1094 502 1290 1482 947 1238 717 173 0
